"JURISDICTION","Sum(FINES)","JURISDICTION (Right)","GENDER","YEAR","16-19","20-24","25-29","30-39","40-49","50-59","60-69","70-79","80+","Total","Fines_Per_10k_Licences"
"QLD",0,"QLD","Persons",2015,193946,281880,300547,617818,640514,589151,471355,252182,84777,3432171,0
"QLD",0,"QLD","Persons",2016,196668,284999,306160,631957,647736,596649,484640,267454,89443,3505706,0
"QLD",0,"QLD","Persons",2017,199487,288028,312317,645427,653734,604605,491048,290360,95830,3580836,0
"QLD",0,"QLD","Persons",2018,208630,290909,317458,658096,658527,611648,501215,309614,101546,3657643,0
"QLD",0,"QLD","Persons",2019,204843,291060,321696,671412,661936,619730,512644,327811,108634,3719766,0
"QLD",0,"QLD","Persons",2020,208782,295954,327328,690033,669528,630896,524852,345723,113301,3806397,0
"QLD",0,"QLD","Persons",2021,214345,300939,330482,703077,671564,643835,539733,364320,120691,3888986,0
"QLD",0,"QLD","Persons",2022,219995,304327,332279,715044,679067,656132,555429,381091,129774,3973138,0
"QLD",0,"QLD","Persons",2023,230357,307447,334709,723108,688228,664414,569434,396682,137345,4051724,0
"QLD",0,"QLD","Persons",2024,242566,314415,342560,739343,704121,672847,582472,408417,148211,4154952,0
"WA",0,"WA","Female",2010,22405,63305,70869,147316,153888,135206,91493,45146,13315,742943,0
"WA",0,"WA","Female",2011,21329,64067,73131,148221,156939,138723,96481,47350,14367,760608,0
"WA",0,"WA","Female",2012,20359,63475,74314,149324,158874,141849,100898,49970,15497,774560,0
"WA",0,"WA","Female",2013,48061,76945,86950,165115,167363,148392,106604,52908,16543,868881,0
"WA",0,"WA","Female",2014,48568,76540,89673,170626,168921,151556,111103,56610,17454,891051,0
"WA",0,"WA","Female",2015,49363,75915,90519,175835,170041,153390,115420,59960,19074,909517,0
"WA",0,"WA","Female",2016,51467,74832,89957,180718,170694,154639,120115,63445,20717,926584,0
"WA",0,"WA","Female",2017,50433,73973,88039,183798,170874,155583,122010,69229,22557,936496,0
"WA",0,"WA","Female",2018,51078,73055,85745,186694,170742,156826,125054,74008,24701,947903,0
"WA",0,"WA","Female",2019,50694,73639,83720,188835,171039,158363,128212,78417,26134,959053,0
"WA",0,"WA","Female",2020,50726,73715,82436,191497,171611,160008,131227,82382,27614,971216,0
"WA",0,"WA","Female",2021,50624,74226,81951,193913,172304,162523,134403,86407,28789,985140,0
"WA",0,"WA","Female",2022,52783,74913,83315,196843,174655,165218,137822,90664,30913,1007126,0
"WA",0,"WA","Female",2023,54952,75635,85171,199874,178814,166679,141265,95851,32912,1031153,0
"WA",0,"WA","Female",2024,57556,76794,88325,203799,184036,168215,144306,100174,35216,1058421,0
"WA",0,"WA","Male",2010,26147,69621,79860,159425,165955,143835,103801,53491,19263,821398,0
"WA",0,"WA","Male",2011,25372,71201,83785,161487,169921,147485,108605,54906,20377,843139,0
"WA",0,"WA","Male",2012,23276,67623,82865,161301,170909,150066,112263,57264,21148,846715,0
"WA",0,"WA","Male",2013,54003,88861,105891,189318,185562,159528,118455,59960,22017,983595,0
"WA",0,"WA","Male",2014,53844,87495,107406,196557,186580,163213,122091,63622,22798,1003606,0
"WA",0,"WA","Male",2015,54020,85742,106516,202036,186857,165769,125157,66840,24169,1017106,0
"WA",0,"WA","Male",2016,54480,84210,103549,205156,186880,166427,128992,70265,25611,1025570,0
"WA",0,"WA","Male",2017,54046,82745,98749,205755,185375,167092,129856,75885,27395,1026898,0
